#beam run file  event                time              chan[0 11] 
0   30    1       187 2017 09 26 12 23 32 0 1 0 0 0 1 1 0 0 1 1 1
1   30    1       936 2017 09 26 16 10 41 0 0 0 1 0 1 0 0 1 0 0 0
1   30    1      1820 2017 09 26 20 51 38 0 1 0 0 0 0 1 1 0 1 0 0
1   30    2       301 2017 09 26 22 23 40 0 1 0 0 0 0 1 1 0 0 0 1
1   31    1      6128 2017 09 27 07 43 16 0 0 1 1 1 1 1 1 0 1 0 1
1   31    1      7826 2017 09 27 09 04 53 0 1 0 0 1 0 1 0 0 1 0 0
1   31    1      8324 2017 09 27 09 30 15 0 0 0 1 0 0 0 1 0 1 0 0
1   31    1      9302 2017 09 27 10 20 39 0 0 1 0 0 0 1 0 0 1 0 1
1   31    2      1217 2017 09 27 12 00 29 0 0 0 1 1 0 0 0 0 1 0 0
1   31    2      1742 2017 09 27 12 24 05 0 1 0 1 1 1 0 0 0 1 0 1
1   31    2      1825 2017 09 27 12 28 21 0 1 0 0 1 1 1 0 0 0 0 1
1   31    2      3800 2017 09 27 14 04 18 0 0 1 0 0 0 1 0 1 0 0 0
1   34    1      5556 2017 09 28 02 05 56 0 0 1 0 0 0 1 0 1 0 0 0
1   34    2       213 2017 09 28 03 05 13 0 1 0 0 1 0 1 0 0 1 0 1
1   34    2      2722 2017 09 28 03 36 47 0 1 0 0 1 0 0 0 0 0 0 1
1   34    2      3125 2017 09 28 03 41 43 0 1 1 0 0 0 0 1 0 0 0 1
1   34    2      9719 2017 09 28 05 05 00 0 1 1 1 0 0 0 1 1 0 0 0
1   34    3       233 2017 09 28 05 11 32 0 0 1 0 0 1 0 1 0 0 0 1
1   34    3      2426 2017 09 28 05 38 28 0 1 0 0 0 0 0 1 0 0 0 1
1   34    3      2468 2017 09 28 05 38 53 0 0 1 0 0 0 1 1 0 1 1 0
1   34    3      3375 2017 09 28 05 50 27 0 1 0 0 0 0 1 1 0 0 0 1
1   34    3      3747 2017 09 28 05 54 59 0 0 0 1 1 0 0 0 0 1 0 1
1   34    3      4837 2017 09 28 06 09 08 0 0 1 0 0 0 0 1 1 1 1 1
1   34    3      8258 2017 09 28 06 53 01 0 0 0 1 0 0 1 1 1 0 1 0
1   34    4       187 2017 09 28 07 18 31 0 1 0 1 1 0 0 0 1 0 0 0
1   34    4       728 2017 09 28 07 25 14 0 1 1 0 0 1 1 0 0 1 0 0
1   34    4      5489 2017 09 28 08 25 14 0 1 0 0 0 1 0 0 0 1 0 1
1   34    4      8542 2017 09 28 09 04 17 0 0 1 0 0 1 0 1 1 1 1 1
1   34    4      9110 2017 09 28 09 11 07 0 0 1 1 0 0 0 1 1 0 0 0
0   34    5       528 2017 09 28 09 29 43 0 0 1 0 1 0 0 0 0 0 0 1
0   34    5      3989 2017 09 28 10 15 05 0 0 1 0 0 1 0 1 0 0 1 0
0   34    5      6018 2017 09 28 10 40 39 0 0 1 1 0 1 1 1 0 1 0 1
0   34    5      6646 2017 09 28 10 48 11 0 1 0 0 0 1 1 0 0 0 1 1
0   34    5      7609 2017 09 28 11 00 41 0 0 1 0 1 0 0 1 0 1 0 0
0   34    5      7628 2017 09 28 11 00 54 0 0 0 1 1 1 0 0 0 1 0 1
0   34    5      8151 2017 09 28 11 08 04 0 1 1 0 0 1 1 0 0 0 0 1
0   34    6        56 2017 09 28 11 31 50 0 1 1 1 0 0 0 1 0 0 0 1
0   34    6       278 2017 09 28 11 34 08 0 1 0 0 0 1 0 1 0 1 0 1
0   34    6       760 2017 09 28 11 40 24 0 1 1 1 0 0 1 1 0 0 0 1
0   34    6      4279 2017 09 28 12 24 06 0 1 1 1 0 0 1 1 1 0 0 0
0   34    6      4375 2017 09 28 12 25 28 0 1 1 0 0 1 1 1 0 0 0 1
1   34    6      5763 2017 09 28 12 43 12 0 1 0 0 0 0 1 1 1 1 1 1
1   34    7      3739 2017 09 28 14 23 48 0 0 0 1 0 0 0 1 0 0 0 1
1   34    7      4752 2017 09 28 14 36 59 0 0 1 0 0 0 0 1 0 0 1 0
1   34    8      2596 2017 09 28 16 15 23 0 1 0 1 0 1 0 1 0 0 0 1
1   34    8      3184 2017 09 28 16 23 15 0 0 0 1 0 0 1 0 0 1 0 0
1   34    8      5180 2017 09 28 16 48 57 0 0 1 1 0 0 0 1 0 0 0 1
1   34    8      5362 2017 09 28 16 51 09 0 1 0 0 1 1 0 1 0 0 1 0
1   38  111      7764 2017 09 29 17 17 52 0 1 1 1 0 1 0 1 0 0 1 1
1   38   96      9822 2017 09 29 14 08 15 0 0 1 0 0 0 0 1 0 1 0 0
1   38   83      5299 2017 09 29 11 15 00 0 1 1 1 0 0 1 1 0 1 1 0
1   38    6      3099 2017 09 28 18 39 54 0 0 1 0 0 1 0 0 1 1 1 1
1   38    6      5662 2017 09 28 18 43 06 0 0 1 0 0 0 0 1 0 1 0 0
1   38    6      8245 2017 09 28 18 46 29 0 1 1 1 1 1 1 1 0 0 0 1
0   38   56      2585 2017 09 29 05 23 46 0 1 0 0 0 0 0 1 0 0 1 0
1   38   56      6141 2017 09 29 05 28 13 0 0 1 1 0 1 0 1 0 1 1 0
1   38   56      6864 2017 09 29 05 29 07 0 1 0 0 1 0 1 0 0 1 0 1
0   38   42      2442 2017 09 29 02 22 58 0 1 0 0 0 0 1 1 0 1 0 1
0   38   42      3743 2017 09 29 02 24 44 0 1 1 0 0 1 0 0 1 0 0 0
1   38   29      4876 2017 09 28 23 38 57 0 0 1 1 1 0 0 1 0 1 0 0
1   38   29      5367 2017 09 28 23 39 33 0 1 0 0 0 0 0 1 1 0 0 0
